experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-new-log-summary-20260729,ge-new-log-summary-20260729-promising-branch-seed-0-root,jobs/ge-new-log-summary-20260729-promising-branch-seed-0-root,log-summary-date-ranges__jxVJoFG,log-summary-date-ranges,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,50000,planning_only,1.0,success,,38556,2537,26249,67342,complete,0.030398650000000006,complete,59.189111,complete,42.027145,1.70377,12.49188533400229,complete,,unknown,,2,2,
ge-new-log-summary-20260729,ge-new-log-summary-20260729-promising-branch-seed-0-cont-0,jobs/ge-new-log-summary-20260729-promising-branch-seed-0-snapshot-0,log-summary-date-ranges__xyySEZU,log-summary-date-ranges,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-log-summary-20260729-promising-branch-seed-0-root,jobs/ge-new-log-summary-20260729-promising-branch-seed-0-root,log-summary-date-ranges__jxVJoFG,go-explore-log-summary-date-ranges__jxVJoFG-step-2,{/app/analyze_logs.py},archive_priority,1.25,priority=1.25|score=1.25|times_selected=0,25000,planning_only,1.0,success,,49021,2951,38622,90594,complete,0.03066745,complete,88.602821,complete,67.42177,3.271828,20.170284125000762,complete,3.271828,complete,,4,0,
ge-new-log-summary-20260729,ge-new-log-summary-20260729-promising-branch-seed-0-cont-1,jobs/ge-new-log-summary-20260729-promising-branch-seed-0-snapshot-1,log-summary-date-ranges__iQCFdTU,log-summary-date-ranges,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-log-summary-20260729-promising-branch-seed-0-root,jobs/ge-new-log-summary-20260729-promising-branch-seed-0-root,log-summary-date-ranges__jxVJoFG,go-explore-log-summary-date-ranges__jxVJoFG-step-1,<test_run>,archive_priority,1.0,priority=1|score=1|times_selected=0,25000,planning_only,1.0,success,,58851,2621,46345,107817,complete,0.03303525,complete,67.420792,complete,47.894922,3.315051,12.393063831999825,complete,3.315051,complete,,3,0,
