experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
claim1-regex-log-pilot-20260729,claim1-regex-log-clean-20260729-clean,jobs/claim1-regex-log-clean-20260729-clean,regex-log__pLckHes,regex-log,clean,start_state_baseline,0,clean,original_task_only,,,,,,,,,100000,planning_only,0.0,fail,,11988,2249,0,14237,complete,0.02431875,complete,128.256663,complete,66.255896,2.61793,32.71036641599994,complete,,unknown,,2,0,incorrect
claim1-regex-log-pilot-20260729,claim1-regex-log-command-log-20260729-diff-only-command-log,jobs/claim1-regex-log-command-log-20260729-diff-only-command-log,regex-log__MAnVC7U,regex-log,diff_only_command_log,start_state_baseline,0,diff_only,command_log,,,,,,,,,100000,planning_only,0.0,fail,,57128,4462,43375,104965,complete,0.043835500000000006,complete,231.968294,complete,136.566915,2.031903,41.68825899900003,complete,,unknown,,3,0,incorrect
claim1-regex-log-pilot-20260729,claim1-regex-log-diff-20260729-diff-only,jobs/claim1-regex-log-diff-20260729-diff-only,regex-log__EsMEwdE,regex-log,diff_only,start_state_baseline,0,diff_only,original_task_only,,,,,,,,,100000,planning_only,0.0,fail,,115202,7980,97008,220190,complete,0.07137405000000001,complete,296.075893,complete,241.635947,1.991603,81.44503529200074,complete,,unknown,,8,0,incorrect
claim1-regex-log-pilot-20260729,claim1-regex-log-replay-20260729-command-replay,jobs/claim1-regex-log-replay-20260729-command-replay,regex-log__vJfRKtp,regex-log,command_replay,start_state_baseline,0,command_replay,original_task_only,,,,,,,,,100000,planning_only,0.0,fail,,48382,4656,28194,81232,complete,0.048691150000000016,complete,343.225191,complete,273.092,2.371348,102.55507054100008,complete,,unknown,,6,0,incorrect
claim1-regex-log-pilot-20260729,claim1-regex-log-snapshot-20260729-full-snapshot-0,jobs/claim1-regex-log-snapshot-20260729-full-snapshot-0,regex-log__LZexptg,regex-log,full_snapshot,start_state_baseline,0,full_snapshot,parent_summary,,,,go-explore-regex-log__hnQrQEg-step-7,,archive_priority,,,100000,planning_only,0.0,fail,,4059,1670,0,5729,complete,0.012409,complete,165.186527,complete,63.052876,52.325161,42.43437724999967,complete,52.325161,complete,,1,0,incorrect
claim1-regex-log-pilot-20260729,claim1-regex-log-transcript-20260729-diff-only-transcript,jobs/claim1-regex-log-transcript-20260729-diff-only-transcript,regex-log__bWzhZPV,regex-log,diff_only_transcript,start_state_baseline,0,diff_only,full_transcript_summary,,,,,,,,,100000,planning_only,1.0,success,,226893,9830,196634,433357,complete,0.10571889999999999,complete,263.669665,complete,239.728353,1.876457,53.866095667999616,complete,,unknown,,5,0,
