experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-new-git-leak-20260729,ge-new-git-leak-20260729-promising-branch-seed-0-root,jobs/ge-new-git-leak-20260729-promising-branch-seed-0-root,git-leak-recovery__DhCBozo,git-leak-recovery,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,50000,planning_only,1.0,success,,27798,2222,4689,34709,complete,0.035967400000000004,complete,149.721944,complete,115.08135,2.41611,43.800272541000595,complete,,unknown,,4,1,
ge-new-git-leak-20260729,ge-new-git-leak-20260729-promising-branch-seed-0-cont-0,jobs/ge-new-git-leak-20260729-promising-branch-seed-0-snapshot-0,git-leak-recovery__wn84sn9,git-leak-recovery,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-git-leak-20260729-promising-branch-seed-0-root,jobs/ge-new-git-leak-20260729-promising-branch-seed-0-root,git-leak-recovery__DhCBozo,go-explore-git-leak-recovery__DhCBozo-step-6,<discovery>,archive_priority,1.0,priority=1|score=1|times_selected=0,25000,planning_only,1.0,success,,6301,1075,0,7376,complete,0.011676,complete,77.6856,complete,39.165169,6.072676,9.15073454099911,complete,6.072676,complete,,1,0,
ge-new-git-leak-20260729,ge-new-git-leak-20260729-promising-branch-seed-0-cont-1,jobs/ge-new-git-leak-20260729-promising-branch-seed-0-cont-1,,git-leak-recovery,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-git-leak-20260729-promising-branch-seed-0-root,,,,,archive_priority,,,25000,planning_only,,missing_result,,,,,,unknown,,unknown,,unknown,,,,unknown,,unknown,,0,0,missing_result
