experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-hard-pytorch-model-recovery-20260729,ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-root,jobs/ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-root,pytorch-model-recovery__RJBohLQ,pytorch-model-recovery,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,60000,planning_only,1.0,agent_error,AgentTimeoutError,513271,12417,485136,1010824,complete,0.14547459999999998,complete,1063.128419,complete,900.009208,2.189814,37.02754604099755,complete,,unknown,,1,1,AgentTimeoutError
ge-hard-pytorch-model-recovery-20260729,ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-cont-0,jobs/ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-snapshot-0,pytorch-model-recovery__9Bp7CrA,pytorch-model-recovery,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-root,jobs/ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-root,pytorch-model-recovery__RJBohLQ,go-explore-pytorch-model-recovery__RJBohLQ-step-24,<test_run>,archive_priority,1.0,priority=1|score=1|times_selected=0,30000,planning_only,1.0,success,,126107,9994,98761,234862,complete,0.09340110000000001,complete,252.345075,complete,167.354626,3.808306,22.922243708999304,complete,3.808306,complete,,5,0,
ge-hard-pytorch-model-recovery-20260729,ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-cont-1,jobs/ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-cont-1,,pytorch-model-recovery,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-hard-pytorch-model-recovery-20260729-promising-branch-seed-0-root,,,,,archive_priority,,,30000,planning_only,,missing_result,,,,,,unknown,,unknown,,unknown,,,,unknown,,unknown,,0,0,missing_result
