experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-hard-code-from-image-20260729,ge-hard-code-from-image-20260729-promising-branch-seed-0-root,jobs/ge-hard-code-from-image-20260729-promising-branch-seed-0-root,code-from-image__JCkiUwd,code-from-image,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,60000,planning_only,1.0,success,,63313,2918,38729,104960,complete,0.045792650000000004,complete,99.024948,complete,82.347652,1.745881,9.990527459001896,complete,,unknown,,1,1,
ge-hard-code-from-image-20260729,ge-hard-code-from-image-20260729-promising-branch-seed-0-cont-0,jobs/ge-hard-code-from-image-20260729-promising-branch-seed-0-snapshot-0,code-from-image__GHDBqzG,code-from-image,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-hard-code-from-image-20260729-promising-branch-seed-0-root,jobs/ge-hard-code-from-image-20260729-promising-branch-seed-0-root,code-from-image__JCkiUwd,go-explore-code-from-image__JCkiUwd-step-4,<command>,archive_priority,0.0,priority=0|score=0|times_selected=0,30000,planning_only,1.0,success,,33475,1680,22185,57340,complete,0.024030500000000003,complete,64.759108,complete,49.685477,3.741467,4.453137584001524,complete,3.741467,complete,,1,0,
ge-hard-code-from-image-20260729,ge-hard-code-from-image-20260729-promising-branch-seed-0-cont-1,jobs/ge-hard-code-from-image-20260729-promising-branch-seed-0-cont-1,,code-from-image,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-hard-code-from-image-20260729-promising-branch-seed-0-root,,,,,archive_priority,,,30000,planning_only,,missing_result,,,,,,unknown,,unknown,,unknown,,,,unknown,,unknown,,0,0,missing_result
