experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-hard-custom-memory-heap-crash-20260729,ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-root,jobs/ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-root,custom-memory-heap-crash__R3KKoVh,custom-memory-heap-crash,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,60000,planning_only,1.0,success,,419739,15105,389747,824591,complete,0.1517042,complete,332.831922,complete,310.718863,1.860764,83.51298074999795,complete,,unknown,,14,2,
ge-hard-custom-memory-heap-crash-20260729,ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-cont-0,jobs/ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-snapshot-0,custom-memory-heap-crash__NJxBY64,custom-memory-heap-crash,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-root,jobs/ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-root,custom-memory-heap-crash__R3KKoVh,go-explore-custom-memory-heap-crash__R3KKoVh-step-17,{/app/user.cpp},archive_priority,1.25,priority=1.25|score=1.25|times_selected=0,30000,planning_only,1.0,success,,200755,5551,179505,385811,complete,0.07102,complete,237.242285,complete,214.599231,2.904316,89.1426696669987,complete,2.904316,complete,,13,0,
ge-hard-custom-memory-heap-crash-20260729,ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-cont-1,jobs/ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-snapshot-1,custom-memory-heap-crash__W7QhApX,custom-memory-heap-crash,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-root,jobs/ge-hard-custom-memory-heap-crash-20260729-promising-branch-seed-0-root,custom-memory-heap-crash__R3KKoVh,go-explore-custom-memory-heap-crash__R3KKoVh-step-18,<test_run>,archive_priority,1.0,priority=1|score=1|times_selected=0,30000,planning_only,0.0,fail,,252167,16406,208056,476629,complete,0.15644334999999998,complete,291.98191,complete,269.537272,3.080455,61.02893708500051,complete,3.080455,complete,,11,0,incorrect
