experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-pilot-20260729,ge-pilot-child-build-cython-ext-20260729-full-snapshot-0,jobs/ge-pilot-child-build-cython-ext-20260729-full-snapshot-0,build-cython-ext__FeAGQBo,build-cython-ext,promising_branch,snapshot_child,0,full_snapshot,parent_summary,build-cython-ext__npwtVHH,,,go-explore-build-cython-ext__npwtVHH-step-16,{/app/pyknotid/pyknotid/make/torus.py},archive_priority,1.25,captures a file edit|1 changed files,100000,planning_only,0.0,fail,,231556,9274,199737,440567,complete,0.10463795000000001,complete,388.62913,complete,374.205818,2.075856,82.79026174999944,complete,2.075856,complete,,14,0,incorrect
ge-pilot-20260729,ge-pilot-child-build-cython-ext-20260729-full-snapshot-1,jobs/ge-pilot-child-build-cython-ext-20260729-full-snapshot-1,build-cython-ext__DEdp7rE,build-cython-ext,promising_branch,snapshot_child,0,full_snapshot,parent_summary,build-cython-ext__npwtVHH,,,go-explore-build-cython-ext__npwtVHH-step-34,{/app/pyknotid/pyknotid/invariants.py},archive_priority,1.25,captures a file edit|1 changed files,100000,planning_only,0.0,fail,,40062,2098,24302,66462,complete,0.0308262,complete,173.74841,complete,160.377255,2.166021,15.627443707000566,complete,2.166021,complete,,3,0,incorrect
ge-pilot-20260729,ge-pilot-child-fix-git-20260729-full-snapshot-0,jobs/ge-pilot-child-fix-git-20260729-full-snapshot-0,fix-git__vW7W2UQ,fix-git,promising_branch,snapshot_child,0,full_snapshot,parent_summary,fix-git__Jb9TxEW,,,go-explore-fix-git__Jb9TxEW-step-5,{_includes/about.md},archive_priority,1.25,captures a file edit|1 changed files,100000,planning_only,1.0,success,,9423,978,0,10401,complete,0.014313,complete,42.789467,complete,27.768922,2.819415,5.767302915999608,complete,2.819415,complete,,1,0,
ge-pilot-20260729,ge-pilot-child-fix-git-20260729-full-snapshot-1,jobs/ge-pilot-child-fix-git-20260729-full-snapshot-1,fix-git__owFDcRc,fix-git,promising_branch,snapshot_child,0,full_snapshot,parent_summary,fix-git__Jb9TxEW,,,go-explore-fix-git__Jb9TxEW-step-3,<discovery>,archive_priority,1.0,captures an investigative discovery,100000,planning_only,1.0,success,,38679,2123,13535,54337,complete,0.03837675,complete,190.777886,complete,176.289862,2.508697,32.99784220700258,complete,2.508697,complete,,7,0,
ge-pilot-20260729,ge-pilot-child-regex-log-20260729-full-snapshot-0,jobs/ge-pilot-child-regex-log-20260729-full-snapshot-0,regex-log__7Udtfve,regex-log,promising_branch,snapshot_child,0,full_snapshot,parent_summary,regex-log__tpMVdAg,,,go-explore-regex-log__tpMVdAg-step-6,{/app/regex.txt},archive_priority,1.25,captures a file edit|1 changed files,100000,planning_only,0.0,fail,,42419,2904,28093,73416,complete,0.033433050000000006,complete,210.637171,complete,125.783244,3.204543,17.282423833000394,complete,3.204543,complete,,2,0,incorrect
ge-pilot-20260729,ge-pilot-child-regex-log-20260729-full-snapshot-1,jobs/ge-pilot-child-regex-log-20260729-full-snapshot-1,regex-log__XYZ49rm,regex-log,promising_branch,snapshot_child,0,full_snapshot,parent_summary,regex-log__tpMVdAg,,,go-explore-regex-log__tpMVdAg-step-3,{/tmp/test_log.txt},archive_priority,1.25,captures a file edit|1 changed files,100000,planning_only,0.0,fail,,93543,5863,70207,169613,complete,0.0629642,complete,211.267108,complete,179.316406,14.841875,33.53838254099901,complete,14.841875,complete,,6,0,incorrect
ge-pilot-20260729,ge-pilot-root-build-cython-ext-20260729,jobs/ge-pilot-root-build-cython-ext-20260729,build-cython-ext__npwtVHH,build-cython-ext,root,root,0,clean,original_task_only,,,,,,,,,100000,planning_only,0.0,agent_error,AgentTimeoutError,877947,9047,838549,1725543,complete,0.17751115,complete,921.31739,complete,900.005582,1.822124,426.48364750100063,complete,,unknown,,17,0,AgentTimeoutError
ge-pilot-20260729,ge-pilot-root-fix-git-20260729,jobs/ge-pilot-root-fix-git-20260729,fix-git__Jb9TxEW,fix-git,root,root,0,clean,original_task_only,,,,,,,,,100000,planning_only,1.0,success,,24663,2081,4923,31667,complete,0.03199855,complete,176.572237,complete,155.038526,3.008565,48.91667320899887,complete,,unknown,,5,0,
ge-pilot-20260729,ge-pilot-root-regex-log-20260729,jobs/ge-pilot-root-regex-log-20260729,regex-log__tpMVdAg,regex-log,root,root,0,clean,original_task_only,,,,,,,,,100000,planning_only,0.0,fail,,54521,5789,41021,101331,complete,0.048968600000000015,complete,158.31391,complete,132.001381,1.857775,55.96815137500107,complete,,unknown,,5,0,incorrect
