experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-new-text-editing-20260729,ge-new-text-editing-20260729-promising-branch-seed-0-root,jobs/ge-new-text-editing-20260729-promising-branch-seed-0-root,large-scale-text-editing__bQMNswG,large-scale-text-editing,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,50000,planning_only,1.0,success,,1097728,12839,1051226,2161793,complete,0.22156559999999995,complete,678.319623,complete,592.551067,2.572372,70.74066087600113,complete,,unknown,,5,1,
ge-new-text-editing-20260729,ge-new-text-editing-20260729-promising-branch-seed-0-cont-0,jobs/ge-new-text-editing-20260729-promising-branch-seed-0-snapshot-0,large-scale-text-editing__bDPrduB,large-scale-text-editing,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-text-editing-20260729-promising-branch-seed-0-root,jobs/ge-new-text-editing-20260729-promising-branch-seed-0-root,large-scale-text-editing__bQMNswG,go-explore-large-scale-text-editing__bQMNswG-step-45,{/app/apply_macros.vim},archive_priority,1.25,priority=1.25|score=1.25|times_selected=0,25000,planning_only,0.0,agent_error,AgentTimeoutError,1767131,16318,1736185,3519634,complete,0.292165,complete,1839.460741,complete,1199.975447,7.942086,,unknown,7.942086,complete,,0,0,AgentTimeoutError
ge-new-text-editing-20260729,ge-new-text-editing-20260729-promising-branch-seed-0-cont-1,jobs/ge-new-text-editing-20260729-promising-branch-seed-0-cont-1,,large-scale-text-editing,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-text-editing-20260729-promising-branch-seed-0-root,,,,,archive_priority,,,25000,planning_only,,missing_result,,,,,,unknown,,unknown,,unknown,,,,unknown,,unknown,,0,0,missing_result
