experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-new-nginx-20260729,ge-new-nginx-20260729-promising-branch-seed-0-root,jobs/ge-new-nginx-20260729-promising-branch-seed-0-root,nginx-request-logging__YUxS54L,nginx-request-logging,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,50000,planning_only,1.0,success,,59059,5584,41520,106163,complete,0.05368400000000001,complete,174.419002,complete,130.442248,22.820126,33.368829540999286,complete,,unknown,,5,2,
ge-new-nginx-20260729,ge-new-nginx-20260729-promising-branch-seed-0-cont-0,jobs/ge-new-nginx-20260729-promising-branch-seed-0-snapshot-0,nginx-request-logging__whJzH4w,nginx-request-logging,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-nginx-20260729-promising-branch-seed-0-root,jobs/ge-new-nginx-20260729-promising-branch-seed-0-root,nginx-request-logging__YUxS54L,go-explore-nginx-request-logging__YUxS54L-step-0,"{/etc/nginx/conf.d/benchmark-site.conf, /etc/nginx/nginx.conf}",archive_priority,1.5,priority=1.5|score=1.5|times_selected=0,25000,planning_only,1.0,success,,44279,5228,30318,79825,complete,0.046276050000000006,complete,163.950369,complete,123.776296,23.840969,15.273415458999807,complete,23.840969,complete,,3,0,
ge-new-nginx-20260729,ge-new-nginx-20260729-promising-branch-seed-0-cont-1,jobs/ge-new-nginx-20260729-promising-branch-seed-0-snapshot-1,nginx-request-logging__N8tfzS3,nginx-request-logging,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-nginx-20260729-promising-branch-seed-0-root,jobs/ge-new-nginx-20260729-promising-branch-seed-0-root,nginx-request-logging__YUxS54L,go-explore-nginx-request-logging__YUxS54L-step-4,<command>,archive_priority,0.0,priority=0|score=0|times_selected=0,25000,planning_only,1.0,success,,50942,4563,32570,88075,complete,0.047278749999999994,complete,112.967972,complete,68.056275,28.633486,,unknown,28.633486,complete,,0,0,
