experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-new-sqlite-gcov-20260729,ge-new-sqlite-gcov-20260729-promising-branch-seed-0-root,jobs/ge-new-sqlite-gcov-20260729-promising-branch-seed-0-root,sqlite-with-gcov__KJAUnCF,sqlite-with-gcov,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,50000,planning_only,1.0,success,,75673,2143,56178,133994,complete,0.039274300000000005,complete,252.481355,complete,227.374964,2.138498,,unknown,,unknown,,0,0,
ge-new-sqlite-gcov-20260729,ge-new-sqlite-gcov-20260729-promising-branch-seed-0-cont-0,jobs/ge-new-sqlite-gcov-20260729-promising-branch-seed-0-cont-0,,sqlite-with-gcov,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-sqlite-gcov-20260729-promising-branch-seed-0-root,,,,,archive_priority,,,25000,planning_only,,missing_result,,,,,,unknown,,unknown,,unknown,,,,unknown,,unknown,,0,0,missing_result
ge-new-sqlite-gcov-20260729,ge-new-sqlite-gcov-20260729-promising-branch-seed-0-cont-1,jobs/ge-new-sqlite-gcov-20260729-promising-branch-seed-0-cont-1,,sqlite-with-gcov,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-sqlite-gcov-20260729-promising-branch-seed-0-root,,,,,archive_priority,,,25000,planning_only,,missing_result,,,,,,unknown,,unknown,,unknown,,,,unknown,,unknown,,0,0,missing_result
