experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-new-pypi-20260729,ge-new-pypi-20260729-promising-branch-seed-0-root,jobs/ge-new-pypi-20260729-promising-branch-seed-0-root,pypi-server__4ou5nVp,pypi-server,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,50000,planning_only,1.0,success,,52019,4350,37033,93402,complete,0.04394030000000001,complete,265.971451,complete,140.667028,106.600133,57.88170324899693,complete,,unknown,,5,2,
ge-new-pypi-20260729,ge-new-pypi-20260729-promising-branch-seed-0-cont-0,jobs/ge-new-pypi-20260729-promising-branch-seed-0-snapshot-0,pypi-server__VReDfRx,pypi-server,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-pypi-20260729-promising-branch-seed-0-root,jobs/ge-new-pypi-20260729-promising-branch-seed-0-root,pypi-server__4ou5nVp,go-explore-pypi-server__4ou5nVp-step-0,"{README.md, setup.py, vectorops/__init__.py}",archive_priority,4.75,priority=4.75|score=4.75|times_selected=0,25000,planning_only,1.0,success,,114318,4293,87415,206026,complete,0.05961000000000001,complete,106.271168,complete,88.538447,5.309868,10.423819499001183,complete,5.309868,complete,,2,0,
ge-new-pypi-20260729,ge-new-pypi-20260729-promising-branch-seed-0-cont-1,jobs/ge-new-pypi-20260729-promising-branch-seed-0-snapshot-1,pypi-server__veGRwPn,pypi-server,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-pypi-20260729-promising-branch-seed-0-root,jobs/ge-new-pypi-20260729-promising-branch-seed-0-root,pypi-server__4ou5nVp,go-explore-pypi-server__4ou5nVp-step-3,<test_run>,archive_priority,4.0,priority=4|score=4|times_selected=0,25000,planning_only,1.0,success,,89883,4900,66801,161584,complete,0.05681510000000001,complete,90.768836,complete,74.778583,4.766796,,unknown,4.766796,complete,,0,0,
