experiment_id,task_id,difficulty,category,method,model_class,solved,n_runs,n_attempts,n_snapshots_created,n_snapshots_forked,total_tokens,total_cost_usd,wall_clock_seconds,snapshot_overhead_seconds,restore_overhead_seconds,unique_success_beyond_baselines
test-chess-plan,chess-best-move,,,promising_branch,anthropic/claude-haiku-4-5-20251001,false,3,3,0,0,,,,,,false
test-chess-plan,chess-best-move,,,unknown,anthropic/claude-haiku-4-5-20251001,false,1,1,0,0,299157,0.21432885000000002,279.315801,,,
