artifact,figure,interpretation,source_rows,status
solve_rate_by_method.csv,solve_rate_by_method,Requires completed task-summary rows.,4,ready
cost_per_solved_task.csv,cost_per_solved_task,Requires solved tasks with cost fields.,4,ready
unique_task_overlap.csv,unique_task_overlap,Requires at least one solved task.,1,ready
branch_success_by_snapshot_event_type.csv,branch_success_by_snapshot_event_type,Requires continuation run rows joined with snapshot cell keys.,4,ready
promising_vs_random_branch_lift.csv,promising_vs_random_branch_lift,Requires paired random_branch and promising_branch task outcomes.,1,ready
repeated_setup_work.csv,repeated_setup_work,Requires repeated-work metrics joined into run rows.,4,ready
snapshot_overhead.csv,snapshot_overhead,Requires persisted snapshot/restore overhead fields.,4,ready
oracle_gap.csv,oracle_gap,Requires oracle_branch rows or precomputed oracle labels.,0,deferred_no_observed_signal
