experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
ge-new-kv-store-20260729,ge-new-kv-store-20260729-promising-branch-seed-0-root,jobs/ge-new-kv-store-20260729-promising-branch-seed-0-root,kv-store-grpc__Xc4Zzv7,kv-store-grpc,promising_branch,root,0,clean,original_task_only,,,,,,archive_priority,,,50000,planning_only,1.0,success,,80596,3770,59741,144107,complete,0.047597600000000004,complete,151.021068,complete,131.618047,1.932046,35.7587247499996,complete,,unknown,,3,2,
ge-new-kv-store-20260729,ge-new-kv-store-20260729-promising-branch-seed-0-cont-0,jobs/ge-new-kv-store-20260729-promising-branch-seed-0-snapshot-0,kv-store-grpc__h6F5BAg,kv-store-grpc,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-kv-store-20260729-promising-branch-seed-0-root,jobs/ge-new-kv-store-20260729-promising-branch-seed-0-root,kv-store-grpc__Xc4Zzv7,go-explore-kv-store-grpc__Xc4Zzv7-step-1,{/app/kv-store.proto},archive_priority,1.25,priority=1.25|score=1.25|times_selected=0,25000,planning_only,1.0,success,,42828,3425,26789,73042,complete,0.0377124,complete,95.696795,complete,72.738534,9.609208,12.528377792001265,complete,9.609208,complete,,2,0,
ge-new-kv-store-20260729,ge-new-kv-store-20260729-promising-branch-seed-0-cont-1,jobs/ge-new-kv-store-20260729-promising-branch-seed-0-snapshot-1,kv-store-grpc__qm9DBQc,kv-store-grpc,promising_branch,continuation,0,full_snapshot,critical_parent_summary,ge-new-kv-store-20260729-promising-branch-seed-0-root,jobs/ge-new-kv-store-20260729-promising-branch-seed-0-root,kv-store-grpc__Xc4Zzv7,go-explore-kv-store-grpc__Xc4Zzv7-step-4,{/app/server.py},archive_priority,1.25,priority=1.25|score=1.25|times_selected=0,25000,planning_only,1.0,success,,18987,1797,0,20784,complete,0.029065,complete,55.50069,complete,34.780488,7.531498,5.151105875000212,complete,7.531498,complete,,1,0,
