experiment_id,run_id,job_dir,trial_name,task_id,method,role,seed,start_state_type,context_mode,parent_run_id,parent_job_dir,parent_trial_name,parent_snapshot,snapshot_cell_key,selector_mode,selector_score,selector_reasons,planned_token_budget,budget_enforcement,reward,outcome,exception_type,n_input_tokens,n_output_tokens,n_cache_tokens,total_tokens,total_tokens_status,cost_usd,cost_usd_status,duration_seconds,duration_seconds_status,agent_execution_seconds,environment_setup_seconds,snapshot_overhead_seconds,snapshot_overhead_seconds_status,restore_overhead_seconds,restore_overhead_seconds_status,repeated_setup_score,n_snapshots_created,n_snapshots_forked,failure_mode
claim1-fix-git-pilot-20260729,claim1-fix-git-clean-20260729-clean-r3,jobs/claim1-fix-git-clean-20260729-clean-r3,fix-git__veDGxbv,fix-git,clean,start_state_baseline,0,clean,original_task_only,,,,,,,,,100000,planning_only,1.0,success,,100977,2834,82910,186721,complete,0.04400975000000001,complete,353.419138,complete,327.069583,2.59376,104.92018571000017,complete,,unknown,,7,0,
claim1-fix-git-pilot-20260729,claim1-fix-git-command-log-20260729-diff-only-command-log-r3,jobs/claim1-fix-git-command-log-20260729-diff-only-command-log-r3,fix-git__7q2jeXd,fix-git,diff_only_command_log,start_state_baseline,0,diff_only,command_log,,,,,,,,,100000,planning_only,1.0,success,,21697,1730,4679,28106,complete,0.027361149999999997,complete,124.130837,complete,107.258779,1.581251,24.03999258299973,complete,,unknown,,4,0,
claim1-fix-git-pilot-20260729,claim1-fix-git-diff-20260729-diff-only-r2,jobs/claim1-fix-git-diff-20260729-diff-only-r2,fix-git__Tcz3Efi,fix-git,diff_only,start_state_baseline,0,diff_only,original_task_only,,,,,,,,,100000,planning_only,1.0,success,,26004,2454,9595,38053,complete,0.031044250000000002,complete,216.375213,complete,188.201646,2.453195,57.525452291999954,complete,,unknown,,5,0,
claim1-fix-git-pilot-20260729,claim1-fix-git-replay-20260729-command-replay-r2,jobs/claim1-fix-git-replay-20260729-command-replay-r2,fix-git__WdL5PkY,fix-git,command_replay,start_state_baseline,0,command_replay,original_task_only,,,,,,,,,100000,planning_only,1.0,success,,42329,2305,29084,73718,complete,0.0298989,complete,159.35351,complete,98.310904,3.924856,53.048276875000056,complete,,unknown,,6,0,
claim1-fix-git-pilot-20260729,claim1-fix-git-snapshot-20260729-full-snapshot-0-r2,jobs/claim1-fix-git-snapshot-20260729-full-snapshot-0-r2,fix-git__4M4cxbq,fix-git,full_snapshot,start_state_baseline,0,full_snapshot,parent_summary,,,,go-explore-fix-git__Ymy9fVC-step-5,,archive_priority,,,100000,planning_only,1.0,success,,42655,2324,29230,74209,complete,0.03021925,complete,167.710742,complete,102.827457,52.142097,36.84660120799981,complete,52.142097,complete,,6,0,
claim1-fix-git-pilot-20260729,claim1-fix-git-transcript-20260729-diff-only-transcript-r2,jobs/claim1-fix-git-transcript-20260729-diff-only-transcript-r2,fix-git__XTiSxw5,fix-git,diff_only_transcript,start_state_baseline,0,diff_only,full_transcript_summary,,,,,,,,,100000,planning_only,1.0,success,,30379,1814,14893,47086,complete,0.027477300000000003,complete,212.53605,complete,171.146377,22.702678,42.180654999000126,complete,,unknown,,5,0,
